Row	Rank	Title	Studio	Worldwide	Domestic	%	Overseas	%	Year
1	2	Avengers: Endgame	BV	$2,782.0	$852.4	30.6%	$1,929.6	69.4%	2019
2	22	Captain Marvel	BV	$1,128.3	$426.8	37.8%	$701.4	62.2%	2019
3	44	Aladdin (2019)	BV	$964.0	$334.2	34.7%	$629.7	65.3%	2019
4	69	Spider-Man: Far from Home	Sony	$858.8	$288.9	33.6%	$569.9	66.4%	2019
5	92	Toy Story 4	BV	$781.7	$354.4	45.3%	$427.3	54.7%	2019
6	116	The Wandering Earth	CMC	$699.8	$5.9	0.8%	$693.9	99.2%	2019
7	200	How to Train Your Dragon: The Hidden World	Uni.	$519.8	$160.8	30.9%	$359.0	69.1%	2019
8	263	Pokemon Detective Pikachu	WB	$429.5	$143.5	33.4%	$286.0	66.6%	2019
9	287	Alita: Battle Angel	Fox	$404.9	$85.7	21.2%	$319.1	78.8%	2019
10	307	Godzilla: King of the Monsters	WB	$384.1	$109.3	28.5%	$274.8	71.5%	2019
11	341	Shazam!	WB (NL)	$364.3	$140.3	38.5%	$224.0	61.5%	2019
12	369	Dumbo (2019)	BV	$352.2	$114.7	32.6%	$237.5	67.4%	2019
13	433	John Wick: Chapter 3 - Parabellum	LG/S	$316.4	$167.9	53.1%	$148.5	46.9%	2019
14	532	The Secret Life of Pets 2	Uni.	$271.5	$148.7	54.8%	$122.8	45.2%	2019
15	574	Us	Uni.	$254.7	$175.0	68.7%	$79.7	31.3%	2019
16	582	Dark Phoenix	Fox	$251.5	$65.1	25.9%	$186.4	74.1%	2019
17	594	Glass	Uni.	$247.0	$111.0	45.0%	$136.0	55.0%	2019
18	611	Men in Black International	Sony	$244.3	$77.2	31.6%	$167.2	68.4%	2019
