NAME,ADDRESS,CITY,ZIPCODE,PHONE,COUNTY,TYPE,PURCHASING OPTIONS,WEB
Byrnes Oil Company Inc Adams,155 S Morrison St,Adams,97810,(541) 566-2125,Umatilla,wholesaler/distributor,,
Carson Oil Co Inc.,4195 Santiam Hwy,Albany,97322,(541) 926-1817,Linn,wholesaler/ distributor,,
Courtesy Corner Shell,1515 Calapooia St SW,Albany,97321,(541) 928-8264,Linn,retailer,,
Ashland Velero,2495 Ashland St.,Ashland,97520,541-482-0337,Jackson,retailer,,
Ashland Pacific Pride,120 Lowe Rd,Ashland,97520,N/A,Jackson,wholesaler,cardlock with pacific pride 24 hours,
Howard Prairie Lake Resort,3249 Hyatt Prairie Rd,Ashland,97520,(541) 774-6303,Jackson,retailer,fuel dock,http://www.howardprairieresort.com/
Port Of Astoria,"10 Pier1, Suite 102",Astoria,97103,(503) 325-8279,Clatsop,retailer,,http://www.portofastoria.com/index.html
Port Of Astoria Moor Basin,352 Industry,Astoria,97103,(503) 325-8278,Clatsop,retailer,fuel dock,http://www.portofastoria.com/index.html
Wilson Oil Inc Astoria,65 Portway St,Astoria ,97103,(503) 325-3124,Clatsop,wholesaler,,
Athena One Stop LLC,457 E Main St,Athena,97813,541-566-2243,Umatilla,retailer,,
Athena One Stop LLC,457 E. Main St.,Athena,97813,541-566-2243,Umatilla,retailer,,
Boones Ferry Marina,26173 NE Boones Ferry Landing,Aurora,97002,(503) 678-1295,Marion,retailer,,http://www.boonesferrymarina.com/
Black Distributing Inc.,2150 Broadway,Baker City,97814,(541) 523-4575,Baker,distributor,,
Fletcher Petroleum Baker City,2212 10th St.,Baker City,97814,541-523-6984,Baker,wholesale/distributor,,
Triangle Farm Supply Inc.,2500 Cedar St,Baker City,97814,(541) 523-3336,Baker,wholesaler/ distributor,,
Port of Bandon,"High Dock, First St. Se",Bandon,97411,(541) 347-1901,Coos,retailer,fuel dock,http://www.portofbandon.com/marina.htm
Wilco Farm Stores,815 West Main St,Battleground,98604,(360) 687-3113,Clark,wholesaler/ distributor,sells packaged 5 gal. contianers,http://www.wilco.coop
