NAME,ADDRESS,CITY,ZIPCODE,PHONE,COUNTY,TYPE,PURCHASING OPTIONS,WEB
Abby's Concessions,3300 NW Pelton Dam Rd,Madras,97741,(541) 475-0516,Jefferson,retailer,,
American Energy,1720 NW Hess Ln,Madras,97741,(541) 383-2255,Jefferson,retailer,,
Carlson Oil Madras Cardlock,105 4th St,Madras,97741,(541) 536-1207,Jefferson,wholesaler/distributor,,
Richmond's Service,511 Deschutes Ave,Maupin,97037,(541) 395-2638,Wasco,retailer,,
Pacific Pride McMinnville,2125 Cumulus Ave NE #513,McMinnville,97128,(503) 472-7215,Yamhill,wholesaler/distributor,,
Wilco Farm Stores,2741 N Hwy 99W,Mcminnville,97128,(503) 472-6154,Yamhill,wholesaler/ distributor,sells packaged 5 gal. contianers,
Wilco Fuel Station #182,2741 N Hwy 99 W,Mcminnville,97128,(503) 472-6154,Yamhill,wholesaler/distributor,,
Colvin Oil Co,1325 Court St,Medford,97501,(541) 772-3774,Jackson,wholesaler/ distributor,,
Colvin Oil Co,20 S Stage Rd,Medford,97501,(541) 772-6213,Jackson,wholesaler/ distributor,,
Hays Oil Plant 1 Cardlock,1890 S Pacific Hwy,Medford,97501,(541) 772-2053,Jackson,wholesaler/ distributor,,
Medford Fuel/Pacific Pride,936 S Central,Medford,97501,(541) 773-7311,Jackson,wholesaler/ distributor,cardlock with pacific pride 24 hours,http://www.medfordfuel.com
N. Medford Pacific Pride,3680 N Pacific Hwy,Medford,97501,N/A,Jackson,wholesaler,cardlock with pacific pride 24 hours,
Truax Towne Pump #72,1503 N. Riverside,Medford,97501,541-772-3299,Jackson,retailer,,
Staub Petro-Pacific Pride Merrill,19828 State Line Rd,Merrill ,97633,(541) 798-5215,Klamath,wholesaler,,
Santiam Quick Mart,654 NW Santiam Blvd,Mill City,97360,(503) 897-2001,Marion,retailer,,
"Cockburn Distributing, Inc.",123 NE 3rd St.,Milton Freewater,97862,541-938-3864,Umatilla,wholesale/distributor,,
"Pendleton Grain Grows, Inc. Broadway",217 E. Broadway,Milton Freewater,97862,541-938-5551,Umatilla,wholesale/distributor,,
Olson Brothers Service,14115 SE Mcloughlin,Milwaukie,97267,(503) 659-5141,Clackamas,retailer,,
Crawfarms Fuel,202 W. Main Street,Mitchell,97750,,Wheeler,retailer,clear gasoline and diesel,
Premier Fuel Services LLC,627 W Main St,Molalla,97038,503-829-4552,Clackamas,retailer,,
Premier Fuel Services LLC,627 W. Main,Molalla,97038,503-829-4552,Clackamas,retailer,,
Hobart Oil Company LLC,112 Dixon Ave,Molalla ,97038,(503) 829-2122,Clackamas,distributor,,
Boyer's Cash Store,335 John Day St.,Monument,97864,(541) 934-2290,Grant,retailer,,
Boyer's Cash Store,335 John Day St,Monument,97864,(541) 934-2290,Grant,retailer,,
Mid Columbia Producers Inc.,2000 1st St.,Moro,97039,(541) 565-3737,Sherman,wholesale/distributor,,http://www.mcpcoop.com/
Wilco Farmers #178,105 S Garfield St,Mount Angel,97362,(503) 845-6122,Marion,wholesaler/ distributor,sells packaged 5 gal. contianers,
Route 395 Mini Market,150 Mountain Blvd,Mount Vernon,97865,(541) 575-1348,Grant,retailer,,
Hays Oil Co. -Myrtle Creek,1123 N. Old Pacific Hwy,Myrtle Creek,97457,541-773-2053,Douglas,retailer,,
Hays Oil Co. Myrtle Creek,1123 N Old Pacific Hwy,Myrtle Creek,97457,N/A,Douglas ,retailer,,
